[2023-06-01 13:06:55] local.INFO: ...............start.................
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"zbw.fdzws","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.banco-pt","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.kba","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.samrc","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"zbw.ifbq","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"zbw.hwr","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.adp","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.dezim","$providerId":"jjuz"}
[2023-06-01 13:07:02] local.INFO: . {"$clientID":"gesis.ssri","$providerId":"jjuz"}
[2023-06-01 13:07:14] local.INFO: . {"clientID":"zbw.iwh"}
[2023-06-01 13:07:14] local.INFO: . {"clientID":"gesis.ies"}
[2023-06-01 13:07:14] local.INFO: . {"clientID":"zbw.zew"}
[2023-06-01 13:07:14] local.INFO: . {"clientID":"zbw.fdzws"}
[2023-06-01 13:07:14] local.INFO: . {"clientID":"gesis.ihi"}
[2023-06-01 13:07:14] local.INFO: . {"clientID":"gesis.ubma"}
[2023-06-01 13:07:15] local.INFO: . {"clientID":"gesis.ahri"}
[2023-06-01 13:07:15] local.INFO: . {"clientID":"gesis.kba"}
[2023-06-01 13:07:15] local.INFO: . {"clientID":"zbw.rwi"}
[2023-06-01 13:07:15] local.INFO: . {"clientID":"gesis.ffzg"}
[2023-06-01 13:07:15] local.INFO: . {"clientID":"gesis.dezim"}
[2023-06-01 13:07:15] local.INFO: . {"clientID":"gesis.banco-pt"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"gesis.share"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"gesis.samrc"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"gesis.bzga"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"gesis.indepth"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"gesis.iqb"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"gesis.die-gdi"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"gesis.wzb"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"zbw.ios"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"zbw.zoebis"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"gesis.ssri"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"gesis.hsrc"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"gesis.bibb-fdz"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"zbw.ifbq"}
[2023-06-01 13:07:16] local.INFO: . {"clientID":"gesis.db-bank"}
[2023-06-01 13:07:17] local.INFO: . {"clientID":"zbw.ifo"}
[2023-06-01 13:07:17] local.INFO: . {"clientID":"gesis.adp"}
[2023-06-01 13:07:17] local.INFO: . {"clientID":"gesis.deas"}
[2023-06-01 13:07:17] local.INFO: . {"clientID":"gesis.wvsa"}
[2023-06-01 13:07:20] local.INFO: . {"clientID":"zbw.hwr"}
[2023-06-01 13:07:23] local.INFO: . {"clientID":"zbw.afm"}
[2023-06-01 13:07:23] local.INFO: $i {"$i":3,"Count($clients)":2}
[2023-06-01 13:07:23] local.INFO: . {"$clientID":"gesis.soep","$providerId":"dxwl"}
[2023-06-01 13:07:23] local.INFO: . {"$clientID":"zbw.diw","$providerId":"dxwl"}
[2023-06-01 13:07:26] local.INFO: . {"clientID":"zbw.diw"}
[2023-06-01 13:07:27] local.INFO: . {"clientID":"gesis.soep"}
[2023-06-01 13:07:27] local.INFO: $i {"$i":4,"Count($clients)":1}
[2023-06-01 13:07:27] local.INFO: . {"$clientID":"baua.baua","$providerId":"baua"}
[2023-06-01 13:07:30] local.INFO: . {"clientID":"baua.baua"}
[2023-06-01 13:07:30] local.INFO: $i {"$i":5,"Count($clients)":1}
[2023-06-01 13:07:30] local.INFO: . {"$clientID":"bamf.bamf","$providerId":"bamf"}
[2023-06-01 13:07:32] local.INFO: . {"clientID":"bamf.bamf"}
[2023-06-01 13:07:32] local.INFO: $i {"$i":6,"Count($clients)":1}
[2023-06-01 13:07:32] local.INFO: . {"$clientID":"xueu.manypc","$providerId":"xueu"}
[2023-06-01 13:07:34] local.INFO: . {"clientID":"xueu.manypc"}
[2023-06-01 13:07:34] local.INFO: $i {"$i":7,"Count($clients)":3}
[2023-06-01 13:07:34] local.INFO: . {"$clientID":"gesis.dzhw","$providerId":"dzhw"}
[2023-06-01 13:07:34] local.INFO: . {"$clientID":"dzhw.fdz-dzhw","$providerId":"dzhw"}
[2023-06-01 13:07:34] local.INFO: . {"$clientID":"dzhw.kfid","$providerId":"dzhw"}
[2023-06-01 13:07:36] local.INFO: . {"clientID":"dzhw.kfid"}
[2023-06-01 13:07:36] local.INFO: . {"clientID":"gesis.dzhw"}
[2023-06-01 13:07:37] local.INFO: . {"clientID":"dzhw.fdz-dzhw"}
[2023-06-01 13:07:37] local.INFO: $i {"$i":8,"Count($clients)":1}
[2023-06-01 13:07:37] local.INFO: . {"$clientID":"gesis.swp","$providerId":"djnz"}
[2023-06-01 13:07:40] local.INFO: . {"clientID":"gesis.swp"}
[2023-06-01 13:07:40] local.INFO: $i {"$i":9,"Count($clients)":1}
[2023-06-01 13:07:40] local.INFO: . {"$clientID":"gesis.rki","$providerId":"epua"}
[2023-06-01 13:07:44] local.INFO: . {"clientID":"gesis.rki"}
[2023-06-01 13:07:44] local.INFO: $i {"$i":10,"Count($clients)":2}
[2023-06-01 13:07:44] local.INFO: . {"$clientID":"gesis.iab","$providerId":"iabg"}
[2023-06-01 13:07:44] local.INFO: . {"$clientID":"iabg.rdciab","$providerId":"iabg"}
[2023-06-01 13:07:46] local.INFO: . {"clientID":"iabg.rdciab"}
[2023-06-01 13:07:47] local.INFO: . {"clientID":"gesis.iab"}
[2023-06-01 13:07:47] local.INFO: $i {"$i":11,"Count($clients)":1}
[2023-06-01 13:07:47] local.INFO: . {"$clientID":"qtiv.iea","$providerId":"qtiv"}
[2023-06-01 13:07:50] local.INFO: . {"clientID":"qtiv.iea"}
[2023-06-01 13:07:50] local.INFO: $i {"$i":12,"Count($clients)":1}
[2023-06-01 13:07:50] local.INFO: . {"$clientID":"gesis.bifie","$providerId":"qefw"}
[2023-06-01 13:07:52] local.INFO: . {"clientID":"gesis.bifie"}
[2023-06-01 13:07:52] local.INFO: $i {"$i":13,"Count($clients)":2}
[2023-06-01 13:07:52] local.INFO: . {"$clientID":"gesis.zpid","$providerId":"vpwd"}
[2023-06-01 13:07:52] local.INFO: . {"$clientID":"gesis.psycharc","$providerId":"vpwd"}
[2023-06-01 13:07:55] local.INFO: . {"clientID":"gesis.zpid"}
[2023-06-01 13:07:56] local.INFO: . {"clientID":"gesis.psycharc"}
[2023-06-01 13:07:56] local.INFO: $i {"$i":14,"Count($clients)":2}
[2023-06-01 13:07:56] local.INFO: . {"$clientID":"gesis.dipf","$providerId":"dipf"}
[2023-06-01 13:07:56] local.INFO: . {"$clientID":"dipf.rdcedu","$providerId":"dipf"}
[2023-06-01 13:07:58] local.INFO: . {"clientID":"dipf.rdcedu"}
[2023-06-01 13:07:59] local.INFO: . {"clientID":"gesis.dipf"}
[2023-06-01 13:07:59] local.INFO: $i {"$i":15,"Count($clients)":1}
[2023-06-01 13:07:59] local.INFO: . {"$clientID":"gesis.gesis","$providerId":"vzek"}
[2023-06-01 13:08:03] local.INFO: . {"clientID":"gesis.gesis"}
[2023-06-01 13:08:03] local.INFO: $i {"$i":16,"Count($clients)":1}
[2023-06-01 13:08:03] local.INFO: . {"$clientID":"gesis.neps","$providerId":"hzht"}
[2023-06-01 13:08:07] local.INFO: . {"clientID":"gesis.neps"}
[2023-06-01 13:08:07] local.INFO: $i {"$i":17,"Count($clients)":2}
[2023-06-01 13:08:07] local.INFO: . {"$clientID":"gesis.ekke","$providerId":"ekke"}
[2023-06-01 13:08:07] local.INFO: . {"$clientID":"gesis.sodanet","$providerId":"ekke"}
[2023-06-01 13:08:09] local.INFO: . {"clientID":"gesis.ekke"}
[2023-06-01 13:08:11] local.INFO: . {"clientID":"gesis.sodanet"}
[2023-06-01 13:08:11] local.INFO: $i {"$i":18,"Count($clients)":1}
[2023-06-01 13:08:11] local.INFO: . {"$clientID":"gesis.fdz-sabl","$providerId":"djyy"}
[2023-06-01 13:08:14] local.INFO: . {"clientID":"gesis.fdz-sabl"}
[2023-06-01 13:08:14] local.INFO: $i {"$i":19,"Count($clients)":1}
[2023-06-01 13:08:14] local.INFO: . {"$clientID":"gesis.srda","$providerId":"yozl"}
[2023-06-01 13:08:17] local.INFO: . {"clientID":"gesis.srda"}
[2023-06-01 13:08:17] local.INFO: $i {"$i":20,"Count($clients)":1}
[2023-06-01 13:08:17] local.INFO: . {"$clientID":"gesis.aussda","$providerId":"kuih"}
[2023-06-01 13:08:19] local.INFO: . {"clientID":"gesis.aussda"}
[2023-06-01 13:08:19] local.INFO: $i {"$i":21,"Count($clients)":1}
[2023-06-01 13:08:19] local.INFO: . {"$clientID":"belab.belab","$providerId":"belab"}
[2023-06-01 13:08:21] local.INFO: . {"clientID":"belab.belab"}
[2023-06-01 13:08:21] local.INFO: $i {"$i":22,"Count($clients)":3}
[2023-06-01 13:08:21] local.INFO: . {"$clientID":"fdzrv.fdzrv","$providerId":"fdzrv"}
[2023-06-01 13:08:21] local.INFO: . {"$clientID":"fdzrv.reha","$providerId":"fdzrv"}
[2023-06-01 13:08:21] local.INFO: . {"$clientID":"fdzrv.fna","$providerId":"fdzrv"}
[2023-06-01 13:08:24] local.INFO: . {"clientID":"fdzrv.reha"}
[2023-06-01 13:08:24] local.INFO: . {"clientID":"fdzrv.fna"}
[2023-06-01 13:08:25] local.INFO: . {"clientID":"fdzrv.fdzrv"}
[2023-06-01 13:08:25] local.INFO: $i {"$i":23,"Count($clients)":2}
[2023-06-01 13:08:25] local.INFO: . {"$clientID":"zbw.zbw-jda","$providerId":"zbwg"}
[2023-06-01 13:08:25] local.INFO: . {"$clientID":"zbw.iree","$providerId":"zbwg"}
[2023-06-01 13:08:27] local.INFO: . {"clientID":"zbw.zbw-jda"}
[2023-06-01 13:08:27] local.INFO: . {"clientID":"zbw.iree"}
[2023-06-01 13:08:27] local.INFO: . {"$providersAndClientsAndDoiCount":65}
[2023-06-01 13:08:27] local.INFO: ...............end.................
